iter	RMSE
0	0.7588915326
1	0.7507131103
2	0.7425549673
3	0.7347022387
4	0.7274290772
5	0.7204212014
6	0.7139301926
7	0.7072947264
8	0.7013960025
9	0.6956837365
10	0.6904093943
11	0.6851913019
12	0.680038317
13	0.6750616394
14	0.6703559044
15	0.6661239961
16	0.662140778
17	0.6581542382
18	0.6544314163
19	0.6508865549
20	0.6474007087
21	0.6442947579
22	0.6412673397
23	0.638395401
24	0.6355700535
25	0.6328383584
26	0.6301702942
27	0.6275628328
28	0.625017271
29	0.6226381149
30	0.6205893887
31	0.6184901221
32	0.6166640253
33	0.6146505842
34	0.6125495096
35	0.6108556008
36	0.6090937387
37	0.6076319703
38	0.6059462955
39	0.6043883444
40	0.6028453003
41	0.6012635776
42	0.5999578559
43	0.59850234
44	0.5970512386
45	0.5957931256
46	0.594539142
47	0.5933566079
48	0.5921810751
49	0.591158395
50	0.5901461248
51	0.5891056942
52	0.5882308613
53	0.5873834319
54	0.5865118542
55	0.5857509231
56	0.5850442808
57	0.5843484368
58	0.583636014
59	0.5829414728
60	0.5821510738
61	0.5815205818
62	0.5808078161
63	0.5800644568
64	0.5793034785
65	0.5786556941
66	0.5778552931
67	0.5772336653
68	0.5765853836
69	0.5759531059
70	0.5754600146
71	0.5749673598
72	0.5745518746
73	0.5740644937
74	0.5735805534
75	0.5731524631
76	0.5727404144
77	0.572265179
78	0.5718628444
79	0.571405329
80	0.5710071394
81	0.5705751119
82	0.5701298285
83	0.5696851278
84	0.5693682288
85	0.5690657667
86	0.5687845873
87	0.5684949285
88	0.5680834302
89	0.5677120149
90	0.5674692152
91	0.5672273065
92	0.56690766
93	0.5665930928
94	0.5663233776
95	0.5660447348
96	0.565808308
97	0.5655329917
98	0.5652857756
99	0.5650556442
100	0.5648448747
101	0.5645712183
102	0.5643376066
103	0.5640420578
104	0.5637968767
105	0.5635162007
106	0.5634331947
107	0.5631822105
108	0.5629950536
109	0.5627979965
110	0.5626827728
111	0.562488953
112	0.5622793613
113	0.5621249792
114	0.5619296603
115	0.561618482
116	0.5614279436
117	0.5612547109
118	0.5610883737
119	0.560819806
120	0.5605680921
121	0.5604118154
122	0.5602594709
123	0.5600988542
124	0.5599717284
125	0.5598374157
126	0.559707537
127	0.559527122
128	0.5593707339
129	0.5592282764
130	0.5591173896
131	0.5589921952
132	0.5588714955
133	0.5587054432
134	0.5585260898
135	0.5584287493
136	0.5582747275
137	0.5581470232
138	0.5579865351
139	0.5578853676
140	0.5576950409
141	0.5575949242
142	0.557490444
143	0.5573878556
144	0.5573032958
145	0.5571904002
146	0.5570237142
147	0.5569479595
148	0.5567425284
149	0.5566151377
150	0.5565273548
151	0.5563240096
152	0.5561711832
153	0.5560802563
154	0.5559546016
155	0.5558503258
156	0.5557215584
157	0.5556213175
158	0.5554215497
159	0.5553189251
160	0.5552289857
161	0.5551052389
162	0.5550245472
163	0.5549068751
164	0.5548053121
165	0.5547179591
166	0.5546408992
167	0.5544811769
168	0.5543919652
169	0.5543223548
170	0.5542571411
171	0.5541444651
172	0.5540909083
173	0.5540166089
174	0.5538479888
175	0.5537926057
176	0.5536862858
177	0.5535876237
178	0.5535323485
179	0.5533950897
180	0.5533429617
181	0.5531965902
182	0.5531543243
183	0.5530342236
184	0.5529176853
185	0.5528225546
186	0.5527474786
187	0.552669943
188	0.5525839669
189	0.5525338382
190	0.5523868562
191	0.5522518949
192	0.5521428234
193	0.5519778252
194	0.5518388687
195	0.5517255095
196	0.551565331
197	0.5514906177
198	0.5513665449
199	0.5513228092
200	0.5511767259
201	0.5511072347
202	0.5509922533
203	0.5509343992
204	0.5508914424
205	0.5508502625
206	0.5507950923
