iter	Passed	Remaining
0	111	107577
1	214	103629
2	316	101492
3	431	103855
4	549	105608
5	659	105590
6	789	108189
7	925	110794
8	1020	108503
9	1124	107533
10	1235	107240
11	1340	106565
12	1449	106252
13	1574	107037
14	1696	107536
15	1799	106837
16	1909	106604
17	2031	107004
18	2126	105974
19	2238	105874
20	2359	106188
21	2460	105560
22	2558	104910
23	2677	105087
24	2783	104788
25	2882	104226
26	3010	104698
27	3112	104272
28	3217	103949
29	3335	104062
30	3452	104129
31	3558	103859
32	3667	103685
33	3768	103305
34	3881	103245
35	3998	103305
36	4120	103451
37	4221	103081
38	4317	102617
39	4439	102763
40	4538	102398
41	4651	102338
42	4770	102394
43	4875	102153
44	4978	101884
45	5089	101785
46	5191	101510
47	5298	101324
48	5399	101046
49	5509	100936
50	5632	101045
51	5736	100827
52	5841	100624
53	5939	100311
54	6048	100183
55	6146	99876
56	6242	99552
57	6348	99385
58	6444	99064
59	6552	98945
60	6669	98943
61	6765	98643
62	6859	98317
63	6929	97658
64	7024	97372
65	7139	97357
66	7260	97417
67	7352	97099
68	7424	96522
69	7501	96018
70	7573	95468
71	7658	95094
72	7753	94848
73	7838	94490
74	7952	94480
75	8071	94516
76	8174	94382
77	8265	94096
78	8376	94051
79	8472	93827
80	8600	93971
81	8700	93792
82	8797	93595
83	8890	93350
84	8998	93266
85	9107	93194
86	9189	92846
87	9293	92726
88	9405	92676
89	9510	92568
90	9629	92592
91	9726	92402
92	9813	92116
93	9898	91819
94	9979	91497
95	10077	91326
96	10151	90943
97	10233	90643
98	10337	90527
99	10447	90475
100	10559	90437
101	10665	90345
102	10769	90234
103	10861	90025
104	10960	89874
105	11062	89755
106	11159	89588
107	11265	89496
108	11358	89306
109	11456	89153
110	11559	89038
111	11689	89134
112	11807	89128
113	11899	88930
114	12003	88828
115	12111	88747
116	12190	88459
117	12281	88260
118	12401	88266
119	12508	88186
120	12615	88101
121	12693	87810
122	12794	87688
123	12891	87538
124	12979	87323
125	13080	87203
126	13198	87192
127	13295	87046
128	13410	87015
129	13508	86868
130	13601	86699
131	13710	86625
132	13813	86514
133	13952	86630
134	14085	86705
135	14215	86755
136	14309	86586
137	14416	86500
138	14506	86307
139	14588	86069
140	14684	85920
