"Statistic Label","Year","County","UNIT","VALUE"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Carlow","State=100","110.213116517653"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Cavan","State=100","98.1024425750616"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Clare","State=100","97.8843869855991"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Cork","State=100","106.670816430412"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Donegal","State=100","83.739521962576"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Dublin","State=100","102.18725019604"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Galway","State=100","104.718988183132"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Kerry","State=100","100.710942186607"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Kildare","State=100","96.5830296513151"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Kilkenny","State=100","97.3829654739111"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Laois","State=100","84.2476432687292"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Leitrim","State=100","98.3486781714252"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Limerick","State=100","105.592065455651"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Longford","State=100","89.8996085749822"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Louth","State=100","90.8068794278308"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Mayo","State=100","97.6849302927666"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Meath","State=100","90.0193490472652"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Monaghan","State=100","95.8632424689538"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Offaly","State=100","84.5643404010148"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Roscommon","State=100","95.296631967982"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Sligo","State=100","99.2454359727136"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Tipperary","State=100","112.948594264186"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Waterford","State=100","103.493343170263"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Westmeath","State=100","94.614332166153"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Wexford","State=100","100.829813559923"
"Index of Disposable Income per Person (excluding Rent)","2016","Co. Wicklow","State=100","96.7373772730038"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Carlow","State=100","110.300128464828"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Cavan","State=100","97.6818278256638"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Clare","State=100","98.2293415978863"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Cork","State=100","106.867203506353"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Donegal","State=100","82.5031582438802"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Dublin","State=100","102.806176087812"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Galway","State=100","103.988783919927"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Kerry","State=100","100.500490234908"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Kildare","State=100","95.6030371673633"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Kilkenny","State=100","98.5000776592222"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Laois","State=100","84.2213300753572"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Leitrim","State=100","96.9370010111819"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Limerick","State=100","106.947919758534"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Longford","State=100","90.0909394636825"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Louth","State=100","90.1705308895782"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Mayo","State=100","96.4845400502149"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Meath","State=100","90.4005402648091"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Monaghan","State=100","95.3741486410211"
"Index of Disposable Income per Person (excluding Rent)","2017","Co. Offaly","State=100","83.9175787401599"
