"Statistic Label","Month","Selected Sub Indices","UNIT","VALUE"
"Consumer Price Index (Base Dec 2016=100)","2016 January","Mortgage Interest","Base Dec 2016=100","103.5"
"Consumer Price Index (Base Dec 2016=100)","2016 February","Mortgage Interest","Base Dec 2016=100","103.4"
"Consumer Price Index (Base Dec 2016=100)","2016 March","Mortgage Interest","Base Dec 2016=100","102.9"
"Consumer Price Index (Base Dec 2016=100)","2016 April","Mortgage Interest","Base Dec 2016=100","102.1"
"Consumer Price Index (Base Dec 2016=100)","2016 May","Mortgage Interest","Base Dec 2016=100","101.6"
"Consumer Price Index (Base Dec 2016=100)","2016 June","Mortgage Interest","Base Dec 2016=100","101.2"
"Consumer Price Index (Base Dec 2016=100)","2016 July","Mortgage Interest","Base Dec 2016=100","100.3"
"Consumer Price Index (Base Dec 2016=100)","2016 August","Mortgage Interest","Base Dec 2016=100","100.3"
"Consumer Price Index (Base Dec 2016=100)","2016 September","Mortgage Interest","Base Dec 2016=100","99.9"
"Consumer Price Index (Base Dec 2016=100)","2016 October","Mortgage Interest","Base Dec 2016=100","100.3"
"Consumer Price Index (Base Dec 2016=100)","2016 November","Mortgage Interest","Base Dec 2016=100","99.9"
"Consumer Price Index (Base Dec 2016=100)","2016 December","Mortgage Interest","Base Dec 2016=100","100"
"Consumer Price Index (Base Dec 2016=100)","2017 January","Mortgage Interest","Base Dec 2016=100","99.7"
"Consumer Price Index (Base Dec 2016=100)","2017 February","Mortgage Interest","Base Dec 2016=100","99.8"
"Consumer Price Index (Base Dec 2016=100)","2017 March","Mortgage Interest","Base Dec 2016=100","99.8"
"Consumer Price Index (Base Dec 2016=100)","2017 April","Mortgage Interest","Base Dec 2016=100","99.5"
"Consumer Price Index (Base Dec 2016=100)","2017 May","Mortgage Interest","Base Dec 2016=100","99.6"
"Consumer Price Index (Base Dec 2016=100)","2017 June","Mortgage Interest","Base Dec 2016=100","99.8"
"Consumer Price Index (Base Dec 2016=100)","2017 July","Mortgage Interest","Base Dec 2016=100","99.9"
"Consumer Price Index (Base Dec 2016=100)","2017 August","Mortgage Interest","Base Dec 2016=100","100.1"
"Consumer Price Index (Base Dec 2016=100)","2017 September","Mortgage Interest","Base Dec 2016=100","99.9"
"Consumer Price Index (Base Dec 2016=100)","2017 October","Mortgage Interest","Base Dec 2016=100","100.1"
"Consumer Price Index (Base Dec 2016=100)","2017 November","Mortgage Interest","Base Dec 2016=100","98.8"
"Consumer Price Index (Base Dec 2016=100)","2017 December","Mortgage Interest","Base Dec 2016=100","99.1"
"Consumer Price Index (Base Dec 2016=100)","2018 January","Mortgage Interest","Base Dec 2016=100","99"
