"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Clare","Thousand","120.2"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Cork","Thousand","547.6"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Cavan","Thousand","77.1"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Carlow","Thousand","57.6"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Donegal","Thousand","161.8"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Dublin","Thousand","1351.5"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Galway","Thousand","256.2"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Kildare","Thousand","228.1"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Kilkenny","Thousand","100"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Kerry","Thousand","146.5"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Longford","Thousand","41.9"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Louth","Thousand","131"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Limerick","Thousand","197"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Leitrim","Thousand","32.7"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Laois","Thousand","86.7"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Meath","Thousand","200.8"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Monaghan","Thousand","62.8"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Mayo","Thousand","131.4"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Offaly","Thousand","80.1"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Roscommon","Thousand","65.6"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Sligo","Thousand","65.9"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Tipperary","Thousand","163.1"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Waterford","Thousand","117"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Wicklow","Thousand","146"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Westmeath","Thousand","90.6"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Co. Wexford","Thousand","151.9"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Clare","Thousand","122.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Cork","Thousand","554.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Cavan","Thousand","78.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Carlow","Thousand","58.3"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Donegal","Thousand","164.2"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Dublin","Thousand","1373.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Galway","Thousand","259.2"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Kildare","Thousand","232.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Kilkenny","Thousand","101.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Kerry","Thousand","148.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Longford","Thousand","42.5"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Louth","Thousand","132.4"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Limerick","Thousand","200.6"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Leitrim","Thousand","33.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Laois","Thousand","88.4"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Meath","Thousand","205"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Monaghan","Thousand","63.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Mayo","Thousand","133.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Offaly","Thousand","81.5"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Roscommon","Thousand","66.4"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Sligo","Thousand","66.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Tipperary","Thousand","165.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Waterford","Thousand","118.5"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Wicklow","Thousand","149.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Westmeath","Thousand","92.3"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Co. Wexford","Thousand","153.6"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Clare","Thousand","123.8"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Cork","Thousand","560.1"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Cavan","Thousand","78.8"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Carlow","Thousand","59.4"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Donegal","Thousand","166.1"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Dublin","Thousand","1398.8"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Galway","Thousand","262.5"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Kildare","Thousand","236.6"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Kilkenny","Thousand","103.1"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Kerry","Thousand","150.5"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Longford","Thousand","43"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Louth","Thousand","134.8"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Limerick","Thousand","202.3"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Leitrim","Thousand","33.5"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Laois","Thousand","89.7"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Meath","Thousand","208.7"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Monaghan","Thousand","64.3"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Co. Mayo","Thousand","135"
