Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/04/2016,"7 MARLTON DEMESNE, DEMESNE, WICKLOW",Wicklow,,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2016,"90 SLIEVE RUA DR, KILMACUD, BLACKROCK",Dublin,,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"APT. 1 ABOVE BERGERACS, MAIN STREET, ROASREA",Tipperary,,"€44,200.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2016,"6 MARIEMOUNT GROVE, BALLINAMORE, COUNTY LEITRIM",Leitrim,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/04/2016,"THE GLADE, TYMULLEN, MONASTERBOICE",Louth,,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/07/2016,"SILVERDALE HOUSE, CASTLEKNOCK RD, DUBLIN",Dublin,,"€1,320,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2016,"11 CLUAIN CREGG, CARRICK ON SUIR, TIPPERARY",Tipperary,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2016,"1 HAZELDEAN, BLACKWATER, ENNISCORTHY",Wexford,,"€189,185.02",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/06/2016,"4 WATERSIDE, CASTLEHEIGHTS, KILMONEY RD",Cork,,"€226,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2016,"56 WESTON MEADOW, LUCAN, DUBLIN",Dublin,,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/08/2016,"39 SHANNON GROVE, CARRICK ON SHANNON, CO LEITRIM",Leitrim,,"€85,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
21/03/2016,"74 Elden, Maryborough Hill, Douglas",Cork,,"€367,625.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
24/02/2016,"93 City Gate, Augustine Street, Dublin 8",Dublin,,"€147,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2016,"GLENVILLE, CORK",Cork,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/07/2016,"51 CLANDONAGH RD, DONNYCARNEY, DUBLIN 3",Dublin,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2016,"ROSFARAGHAN, FERBANE, CO OFFALY",Offaly,,"€130,500.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2016,"39 MEADOW COURT, DAINGEAN, OFFALY",Offaly,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/05/2016,"6 The Drive, Millers Glen, Swords",Dublin,,"€273,083.70",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/03/2016,"10 FORTFIELD COURT, TERENURE, DUBLIN 6W",Dublin,,"€161,000.00",No,No,Second-Hand Dwelling house /Apartment,
