Price (€),Not Full Market Price,Is_Second_Hand,county_clean,area_code_clean,is_apartment_text,has_estate_term,has_rural_term,has_house_number,address_token_count,county_trailing_6m_median_log_price,county_trailing_12m_median_log_price,area_trailing_6m_median_log_price,area_trailing_12m_median_log_price,County_New_Dwellings,Area_New_Dwellings,Mortgage Interest Rate,Population,log_price,sale_year,sale_month
450000.0,No,1,Wicklow,UNKNOWN,0,0,0,1,5,12.468440756144114,,,,49.0,,102.1,,13.017005083966255,2016,4
560000.0,No,1,Dublin,A94,0,0,0,1,6,12.612373031720743,12.594590368599345,13.36836980344608,13.239664007582565,843.0,3.0,99.9,,13.235693848424024,2016,9
44200.0,No,1,Tipperary,UNKNOWN,1,0,0,1,7,11.443800242604075,11.41099240221266,,,43.0,,100.0,,10.69650269224425,2016,12
65000.0,No,1,Leitrim,UNKNOWN,0,0,0,1,6,11.31005148440666,11.347191759201158,,,17.0,,100.3,,11.082157933374816,2016,8
400000.0,No,1,Louth,UNKNOWN,0,0,0,0,4,11.915205496226712,,,,22.0,,102.1,,12.899222326086994,2016,4
1320000.0,No,1,Dublin,UNKNOWN,0,0,1,0,5,12.575010636294163,12.575010636294163,,,843.0,,100.3,,14.093143052138025,2016,7
235000.0,No,1,Tipperary,E32,0,0,0,1,7,,,,,,,103.4,,12.367345048436391,2016,2
189185.02,No,0,Wexford,Y21,0,0,0,1,4,11.806413884664924,11.876291557816337,11.662882705173306,11.652696102959753,45.0,15.0,99.9,,12.150486042806484,2016,11
226000.0,No,1,Cork,UNKNOWN,0,0,1,1,5,12.075456673029816,,,,205.0,,101.2,,12.328294703023394,2016,6
490000.0,No,1,Dublin,K78,0,0,0,1,5,12.673038621885155,12.613204976475373,12.500594312185541,12.429220196836383,841.0,23.0,100.0,,13.102162710901053,2016,12
85000.0,Yes,1,Leitrim,N41,0,0,0,1,8,11.31005148440666,11.347191759201158,,,17.0,17.0,100.3,,11.350418300109132,2016,8
367625.0,No,0,Cork,UNKNOWN,0,0,0,1,5,,,,,,,102.9,,12.814821396015807,2016,3
147000.0,No,1,Dublin,D08,0,0,0,1,7,,,,,,,103.4,,11.898194668458823,2016,2
280000.0,No,1,Cork,UNKNOWN,0,0,0,0,2,12.176652739485096,12.154784614286667,,,260.0,,100.0,,12.54254845357358,2016,12
205000.0,No,1,Dublin,D03,0,0,1,1,6,12.575010636294163,12.575010636294163,12.691583538230217,,843.0,4.0,100.3,,12.230770136157428,2016,7
130500.0,No,1,Offaly,UNKNOWN,0,0,0,0,4,11.289320991665,11.289320991665,,,17.0,,100.3,,11.779136168550774,2016,7
150000.0,No,1,Offaly,UNKNOWN,0,1,0,1,5,11.225256725762893,,,,18.0,,102.1,,11.918397239722838,2016,4
273083.7,No,0,Dublin,K67,0,0,0,1,6,12.568035549985925,,12.386554935890471,,790.0,47.0,101.6,,12.517537282457786,2016,5
161000.0,No,1,Dublin,D6W,0,1,0,1,6,,,,,,,102.9,,11.989165855127435,2016,3
445000.0,No,1,Clare,UNKNOWN,0,0,0,0,4,11.637340178285932,,,,30.0,,102.1,,13.005831808336863,2016,4
120000.0,No,1,Wexford,Y34,0,0,0,1,6,11.806413884664924,11.83753034761402,11.168859774698873,11.266813647427611,45.0,8.0,100.0,,11.695255355062795,2016,12
451000.0,No,1,Louth,A92,0,0,1,1,6,11.892975978391263,11.911854673983878,11.87705829540293,11.883901399210753,51.0,57.0,100.3,,13.019224835777257,2016,8
195000.0,No,1,Cork,P51,0,0,0,0,3,12.075456673029816,,11.656952379178712,,205.0,17.0,101.2,,12.180759965737863,2016,6
40000.0,No,1,Tipperary,E21,0,0,0,1,4,11.350393407895277,11.388706964723923,11.918397239722838,,43.0,5.0,100.3,,10.596659732783579,2016,10
115000.0,No,1,Offaly,UNKNOWN,0,0,0,0,3,11.289320991665,,,,18.0,,101.6,,11.652696102959753,2016,5
100000.0,No,0,Cavan,UNKNOWN,0,0,0,1,3,11.363068427659805,,,,2.0,,101.6,,11.51293546492023,2016,5
200000.0,No,1,Wexford,UNKNOWN,0,0,0,0,4,11.806413884664924,11.83753034761402,,,55.0,,100.3,,12.206077645517674,2016,8
332500.0,No,1,Cork,UNKNOWN,0,0,0,1,4,12.11512064365824,12.11512064365824,,,237.0,,100.3,,12.71439814659232,2016,7
635000.0,No,1,Cork,UNKNOWN,0,0,0,0,4,12.11512064365824,12.154784614286667,,,237.0,,100.3,,13.361381852676738,2016,8
352000.0,No,1,Wicklow,A63,0,0,0,1,4,12.530710149989005,12.468440756144114,12.80214017854895,12.676079399771027,78.0,33.0,100.0,,12.77138929548529,2016,12
304000.0,No,1,Dublin,K67,0,0,0,1,5,12.575010636294163,12.575010636294163,12.391319504097329,12.391319504097329,843.0,74.0,100.3,,12.624786269856633,2016,7
139000.0,No,1,Dublin,UNKNOWN,0,1,0,1,5,12.594590368599345,12.577639650232573,,,843.0,,100.3,,11.842236406331555,2016,8
406000.0,No,1,Dublin,D11,0,1,0,1,6,12.624702772371506,12.612373031720743,12.033047602460881,12.033047602460881,841.0,13.0,99.9,,12.914110901635024,2016,11
45000.0,No,1,Meath,UNKNOWN,1,0,0,1,5,,,,,,,103.4,,10.714439990727769,2016,2
2350000.0,No,1,Dublin,D04,1,1,1,1,9,12.594590368599345,12.577639650232573,13.056013751303762,13.07958664454977,843.0,1.0,100.3,,14.669926311652166,2016,8
73524.5,No,0,Kildare,UNKNOWN,0,1,0,1,7,12.414773544626566,12.38092320909746,,,149.0,,99.9,,11.205387563807097,2016,9
268722.46,No,0,Kildare,UNKNOWN,0,1,0,1,6,12.31313534661642,12.31313534661642,,,149.0,,100.3,,12.501438100059191,2016,7
340000.0,No,1,Clare,UNKNOWN,0,0,1,0,5,11.613617971804342,11.637340178285932,,,28.0,,100.3,,12.73670383776449,2016,8
246000.0,No,1,Donegal,UNKNOWN,0,0,0,0,3,11.28426549003024,11.377770213857161,,,59.0,,100.3,,12.413090879946887,2016,8
100000.0,No,1,Wexford,UNKNOWN,0,0,1,1,7,11.916725003870745,,,,34.0,,101.6,,11.51293546492023,2016,5
278000.0,No,0,Dublin,UNKNOWN,0,0,0,1,6,12.568035549985925,,,,790.0,,101.6,,12.535379989788607,2016,5
240000.0,No,1,Meath,UNKNOWN,0,0,0,0,4,12.263408632379306,12.206077645517674,,,127.0,,100.3,,12.388398368982115,2016,10
405000.0,No,1,Cork,UNKNOWN,0,0,1,1,7,,,,,,,103.5,,12.91164481522143,2016,1
92000.0,No,1,Offaly,UNKNOWN,0,1,0,1,5,,,,,,,103.5,,11.429554725537322,2016,1
58000.0,No,1,Longford,N39,0,0,0,0,4,11.225256725762893,,11.206233393682755,,16.0,16.0,100.3,,10.968215530759236,2016,7
331000.0,No,0,Wicklow,A63,0,1,0,1,11,12.384191243196804,12.451597135962292,12.734983341999495,12.627675835305006,74.0,43.0,99.9,,12.709876675502672,2016,9
670000.0,No,1,Dublin,D04,0,0,0,1,5,12.624702772371506,12.612373031720743,13.149452897879971,13.084974765901816,841.0,38.0,99.9,,13.415034483903348,2016,11
530000.0,No,1,Dublin,UNKNOWN,0,0,0,1,7,,,,,,,103.4,,13.180634172318978,2016,2
150000.0,No,1,Dublin,D07,0,0,0,1,6,,,,,,,103.4,,11.918397239722838,2016,2
150000.0,No,1,Cork,UNKNOWN,0,0,0,0,3,12.075456673029816,,,,205.0,,101.2,,11.918397239722838,2016,6
230000.0,No,1,Dublin,D12,0,1,0,1,6,,,,,,,103.5,,12.345838935721968,2016,1
70000.0,No,1,Mayo,F23,0,0,1,0,4,11.413250507455034,11.441260421721001,11.289794413577894,11.162350103253655,54.0,11.0,99.9,,11.156264806643742,2016,9
335000.0,No,1,Wicklow,A98,0,1,1,1,7,,,,,,,103.5,,12.721888795877375,2016,1
167500.0,No,1,Laois,R32,0,0,1,0,6,11.677106709994494,11.677106709994494,11.7952585641282,11.7952585641282,26.0,26.0,99.9,,12.02874460037869,2016,9
114537.44,No,0,Tipperary,E45,0,1,0,1,6,11.350393407895277,11.399849683468291,11.691771183572408,11.698075685358907,43.0,9.0,99.9,,11.648665766158924,2016,11
505000.0,No,1,Galway,H91,0,1,0,1,5,11.84634267444337,11.84634267444337,11.956195498570565,11.956195498570565,145.0,102.0,100.3,,13.132315688453556,2016,7
226000.0,No,1,Kildare,W91,0,0,0,1,5,12.427709596131676,12.38092320909746,12.633089464754914,12.496834910111751,149.0,71.0,99.9,,12.328294703023394,2016,11
82000.0,No,1,Kildare,R14,0,0,1,1,5,,,,,,,103.4,,11.314486721293981,2016,2
120000.0,No,0,Sligo,UNKNOWN,0,0,0,1,5,,,,,,,102.9,,11.695255355062795,2016,3
200000.0,Yes,1,Dublin,D14,0,0,0,1,6,12.673038621885155,12.613204976475373,13.063180533873773,13.07107218827772,841.0,64.0,100.0,,12.206077645517674,2016,12
135000.0,No,1,Dublin,UNKNOWN,0,1,0,1,6,12.624702772371506,12.612373031720743,,,841.0,,99.9,,11.813037464800539,2016,11
65000.0,No,1,Kildare,UNKNOWN,0,0,0,1,5,,,,,,,103.4,,11.082157933374816,2016,2
243000.0,No,1,Dublin,D12,0,0,1,1,6,12.575010636294163,12.575010636294163,12.300353253657498,,843.0,3.0,100.3,,12.400820837540556,2016,7
